"","Outcome","mean","LL","UL","se","LL2","UL2","cat","catvar"
"148","Prod_cost",-471.895050062828,-635.72362247945,-308.066477646206,433.820067619229,-1322.18238259652,378.392282470861,3,"pir_cat"
"149","Food_cost",5984.45747814991,5938.6790100368,6030.23594626301,305.765039921526,5385.15799990371,6583.7569563961,3,"pir_cat"
"150","Food_cost_disc",4645.83810660769,4608.50296477893,4683.17324843645,219.512205218798,4215.59418437885,5076.08202883654,3,"pir_cat"
"151","Prod_cost_disc",-368.811561894808,-506.888078120803,-230.735045668813,335.390390287913,-1026.17672685912,288.553603069501,3,"pir_cat"
"152","Admin_costs",877.250738764589,869.247533379592,885.253944149586,39.4920788303227,799.846264257157,954.655213272022,3,"pir_cat"
"153","Total_cost_health",2715.05912026775,2513.15167023919,2916.96657029631,993.743360803043,767.322133093788,4662.79610744172,3,"pir_cat"
"154","Total_cost_societ",2346.24755837294,2006.26359211839,2686.2315246275,1258.97374850496,-121.340988696782,4813.83610544267,3,"pir_cat"
"155","SEQN",0,0,0,0,0,0,4,"edu"
"156","Incident First CVD",-0.0147408162876361,-0.0212797037612596,-0.00820192881401251,0.0137324349520734,-0.0416563887936999,0.0121747562184278,4,"edu"
"157","Incident Recurrent CVD",-0.0121432882667301,-0.0129639238513721,-0.0113226526820881,0.00738832828711671,-0.0266244117094789,0.00233783517601863,4,"edu"
"158","Incident CVD",-0.0268841045543662,-0.0342436276126317,-0.0195245814961006,0.0170760010285122,-0.0603530665702502,0.00658485746151782,4,"edu"
"159","Life Years",-0.0671428356083388,-0.0762163654452734,-0.0580693057714042,0.0450352883507501,-0.155412000775809,0.0211263295591315,4,"edu"
"160","effect_disc",-0.0291072241600213,-0.0325748873807865,-0.0256395609392561,0.0227755615953795,-0.0737473248869651,0.0155328765669225,4,"edu"
"161","HCE_disc",-3596.80376261108,-4208.55407387833,-2985.05345134383,1261.72793710114,-6069.79051932931,-1123.81700589284,4,"edu"
"162","Prod_cost",-929.569048616252,-1206.09419223966,-653.043904992847,604.013490113415,-2113.43548923855,254.297392006043,4,"edu"
"163","Food_cost",6107.1894803917,5884.21016911883,6330.16879166457,409.627078291481,5304.3204069404,6910.058553843,4,"edu"
"164","Food_cost_disc",4745.43431950572,4579.79933320966,4911.06930580178,298.029842168809,4161.29582885486,5329.57281015659,4,"edu"
"165","Prod_cost_disc",-689.105005278682,-921.398529474585,-456.811481082778,479.256900867467,-1628.44853097892,250.238520421553,4,"edu"
"166","Admin_costs",895.395676136904,864.874956499154,925.916395774654,54.1967055627626,789.170133233889,1001.62121903992,4,"edu"
"167","Total_cost_health",2044.02623303155,1628.43162769811,2459.62083836499,1113.36558058854,-138.170304921985,4226.22277098508,4,"edu"
"168","Total_cost_societ",1354.92122775287,707.033098223521,2002.80935728221,1540.25646284201,-1663.98143941747,4373.8238949232,4,"edu"
"169","SEQN",0,0,0,0,0,0,5,"edu"
"170","Incident First CVD",-0.00146395515347476,-0.00456250345701507,0.00163459315006555,0.00680923358698275,-0.014810052983961,0.0118821426770114,5,"edu"
"171","Incident Recurrent CVD",0.00443643225942758,0.0032395183950501,0.00563334612380506,0.00634805877535005,-0.00800576294025852,0.0168786274591137,5,"edu"
"172","Incident CVD",0.00297247710595282,0.00107084266678999,0.00487411154511565,0.0086496141078433,-0.0139807665454201,0.0199257207573257,5,"edu"
"173","Life Years",-0.00695216124375446,-0.0478855331319577,0.0339812106444488,0.0874058061681419,-0.178267541333313,0.164363218845804,5,"edu"
"174","effect_disc",-0.00693847649767555,-0.0297023110238084,0.0158253580284573,0.0473856347161859,-0.0998143205413999,0.0859373675460488,5,"edu"
"175","HCE_disc",-1296.08105595438,-1684.99575441671,-907.166357492046,1002.47297525776,-3260.92808745959,668.765975550838,5,"edu"
"176","Prod_cost",-70.2737948064488,-354.405332734253,213.857743121356,595.905018354219,-1238.24763078072,1097.70004116782,5,"edu"
"177","Food_cost",6234.55089038226,6185.30853215879,6283.79324860572,279.323020868702,5687.0777694796,6782.02401128491,5,"edu"
"178","Food_cost_disc",4822.61956854033,4780.59395853071,4864.64517854995,200.409227045054,4429.81748353202,5215.42165354864,5,"edu"
"179","Prod_cost_disc",-78.985087773814,-289.933755663856,131.963580116228,442.003514515317,-945.311976223834,787.341800676206,5,"edu"
"180","Admin_costs",908.636435781422,899.762441056585,917.510430506259,36.2480878500657,837.590183595294,979.682687967551,5,"edu"
"181","Total_cost_health",4435.17494836737,3995.36064517058,4874.98925156416,1076.61612983583,2325.00733388915,6545.3425628456,5,"edu"
"182","Total_cost_societ",4356.18986059356,3705.42688950673,5006.95283168039,1496.81626015813,1422.42999068362,7289.94973050349,5,"edu"
"183","SEQN",0,0,0,0,0,0,1,"edu"
"184","Incident First CVD",0.0111525996305114,0.00055762998152557,0.0217475692794973,0.0230809549137096,-0.0340860720003594,0.0563912712613822,1,"edu"
"185","Incident Recurrent CVD",1.04083408558608e-17,-0.0484733282575306,0.0484733282575306,0.0886860337468825,-0.17382462614389,0.17382462614389,1,"edu"
"186","Incident CVD",0.0111525996305114,-0.0267257589780333,0.0490309582390562,0.0770349109330912,-0.139835825798347,0.16214102505937,1,"edu"
"187","Life Years",0.186456850759994,0.0727508894368038,0.300162812083183,0.258532543058386,-0.320266933634443,0.69318063515443,1,"edu"
"188","effect_disc",0.0741831454378326,0.0283022958329835,0.120063995042682,0.10374157529485,-0.129150342140072,0.277516633015738,1,"edu"
"189","HCE_disc",-1044.84376187928,-3561.04457848162,1471.35705472306,4684.46911622008,-10226.4032296706,8136.71570591208,1,"edu"
"190","Prod_cost",1172.82534031374,255.607180163222,2090.04350046425,1943.45422709475,-2636.34494479198,4981.99562541945,1,"edu"
"191","Food_cost",6583.68253500461,6346.70277417075,6820.66229583847,413.604258628004,5773.01818809372,7394.3468819155,1,"edu"
